gp_id,x,y,z,ux,uy,uz,u_mag
107,1813.875,-298.908705717,79.8933342422,0.0,-0.013043919266,-0.0510092855052,0.0526506508751
108,1813.875,-305.590181722,545.744178834,0.0,-0.0222954426242,-0.187809444474,0.189128195136
109,1813.875,-307.240011099,503.933677302,0.0,-0.0230795765461,-0.194236369269,0.19560274538
110,1813.875,-307.359375,558.588134766,0.0,-0.0298527579136,-0.119302597813,0.122980880628
111,1813.875,-311.2109375,557.93737793,0.0,-0.0305981073652,-0.111035500888,0.11517433148
112,1813.875,-312.306212133,351.39155828,0.0,-0.0266461950167,-0.179184772743,0.181155188973
113,1813.875,-314.767445568,465.429764133,0.0,-0.0251631101386,-0.193527182964,0.195156226286
114,1813.875,-324.606006309,425.832732376,0.0,-0.0268264765915,-0.191500911304,0.193370780825
115,1813.875,-331.022723671,520.255134323,0.0,-0.0230964434622,-0.193279674647,0.194654767042
116,1813.875,-334.3203125,547.199829102,0.0,-0.0223539578371,-0.183902776722,0.185256391838
117,1813.875,-335.754053696,302.644292047,0.0,-0.0290396083571,-0.163824287765,0.166378171991
118,1813.875,-339.043683586,487.053665012,0.0,-0.0244639666582,-0.193410417562,0.194951469053
119,1813.875,-340.985373466,384.900831209,0.0,-0.0287585546038,-0.187124500493,0.189321507357
120,1813.875,-343.83093579,243.535357305,0.0,-0.0302687430409,-0.141368173449,0.144572325393
121,1813.875,-344.544385126,165.091007197,0.0,-0.0261431870022,-0.102499216478,0.105780695806
